"transaction_description","category","country","currency"
"Blimpie #6276","Food & Dining","INDIA","INR"
"T-Mobile (App)","Utilities & Services","USA","USD"
"WMATA","Transportation","CANADA","CAD"
"White Castle #6163","Food & Dining","CANADA","CAD"
"Anytime Fitness","Entertainment & Recreation","CANADA","CAD"
"Baja Fresh - AUSTRALIA","Food & Dining","AUSTRALIA","AUD"
"Freelance - Afternoon","Income","UK","GBP"
"Full-time #9235 Store","Income","CANADA","CAD"
"Commission - UK","Income","UK","GBP"
"Cardiologist #3048 Branch","Healthcare & Medical","CANADA","CAD"
"Uber Online - Weekend","Transportation","UK","GBP"
"Local Food Bank","Charity & Donations","UK","GBP"
"Culver's","Food & Dining","INDIA","INR"
"Paintball #2983 TXN595158","Entertainment & Recreation","AUSTRALIA","AUD"
"Payroll","Income","INDIA","INR"
"Yoga Studio - Night","Entertainment & Recreation","INDIA","INR"
"Wage - USA Online (Bank Transfer)","Income","USA","USD"
"Walgreens Center TXN426439","Healthcare & Medical","AUSTRALIA","AUD"
"Royalty","Income","INDIA","INR"
"Sparklight #8104 Store","Utilities & Services","AUSTRALIA","AUD"
"NYU Langone #5616 - USA Online","Healthcare & Medical","USA","USD"
"Walmart","Shopping & Retail","USA","USD"
"Taco Bell - CANADA","Food & Dining","CANADA","CAD"
"Paternity Leave #1936 Online","Income","CANADA","CAD"
"Dollar Tree","Shopping & Retail","AUSTRALIA","AUD"
"Big Lots - Weekday","Shopping & Retail","USA","USD"
"Cedars-Sinai","Healthcare & Medical","USA","USD"
"Laser Tag Campus","Entertainment & Recreation","INDIA","INR"
"Gold's Gym","Entertainment & Recreation","UK","GBP"
"Fair #3116 Store Strip Mall","Entertainment & Recreation","CANADA","CAD"
"Gig Work - UK Store","Income","UK","GBP"
"MTA TXN355184","Transportation","AUSTRALIA","AUD"
"Shake Shack","Food & Dining","UK","GBP"
"BP #4452 - USA Center","Transportation","USA","USD"
"Xfinity #3768 - AUSTRALIA Business District","Utilities & Services","AUSTRALIA","AUD"
"Part-time (ACH)","Income","CANADA","CAD"
"Hertz - UK","Transportation","UK","GBP"
"Walk-in Clinic Mall","Healthcare & Medical","INDIA","INR"
"Franchise Online (ACH)","Income","USA","USD"
"Regions Bank","Financial Services","AUSTRALIA","AUD"
"Cashback (Digital Wallet)","Income","INDIA","INR"
"Satellite Internet - CANADA Online","Utilities & Services","CANADA","CAD"
"Offering","Charity & Donations","UK","GBP"
"Train Online TXN278603","Transportation","USA","USD"
"Cardiologist #2608 Branch","Healthcare & Medical","CANADA","CAD"
"Satellite Internet - Dinner Time","Utilities & Services","UK","GBP"
"Saks Off 5th","Shopping & Retail","AUSTRALIA","AUD"
"Rally's TXN615915","Food & Dining","USA","USD"
"Gift","Charity & Donations","USA","USD"
"Synagogue #7632","Charity & Donations","USA","USD"
"Municipal Building","Government & Legal","UK","GBP"
"Spotify #2435","Entertainment & Recreation","CANADA","CAD"
"Veterans Organization","Charity & Donations","INDIA","INR"
"Staples - AUSTRALIA","Shopping & Retail","AUSTRALIA","AUD"
"24 Hour Fitness #2880 Online (App)","Entertainment & Recreation","UK","GBP"
"Macy's","Shopping & Retail","UK","GBP"
"Best Buy #7876 - Morning","Shopping & Retail","AUSTRALIA","AUD"
"Synagogue","Charity & Donations","AUSTRALIA","AUD"
"Doctors Without Borders","Charity & Donations","AUSTRALIA","AUD"
"Chick-fil-A Branch","Food & Dining","INDIA","INR"
"Concert","Entertainment & Recreation","CANADA","CAD"
"Festival (ACH)","Entertainment & Recreation","INDIA","INR"
"Holiday Pay - AUSTRALIA","Income","AUSTRALIA","AUD"
"Amazon Prime - UK (ACH)","Entertainment & Recreation","UK","GBP"
"In-N-Out #3571","Food & Dining","UK","GBP"
"Sparklight - UK Store","Utilities & Services","UK","GBP"
"MARTA - INDIA","Transportation","INDIA","INR"
"Swimming Pool #5723","Entertainment & Recreation","INDIA","INR"
"Spirit Store","Transportation","CANADA","CAD"
"Whole Foods Center Hospital","Food & Dining","USA","USD"
"Adidas - AUSTRALIA","Shopping & Retail","AUSTRALIA","AUD"
"BMO Harris #7657 - CANADA","Financial Services","CANADA","CAD"
"Payroll Center - Holiday","Income","INDIA","INR"
"Habitat for Humanity","Charity & Donations","UK","GBP"
"Comerica #7509","Financial Services","CANADA","CAD"
"CrossFit - CANADA Store","Entertainment & Recreation","CANADA","CAD"
"Verizon #4942 Store (Contactless)","Utilities & Services","AUSTRALIA","AUD"
"WOW TXN625587","Utilities & Services","CANADA","CAD"
"Dermatologist - Morning","Healthcare & Medical","AUSTRALIA","AUD"
"Interest (Bank Transfer)","Income","INDIA","INR"
"Permit (Cash)","Government & Legal","INDIA","INR"
"Tax #4318 - USA Branch TXN288745","Government & Legal","USA","USD"
"Gift #8171 Branch Center (App)","Charity & Donations","CANADA","CAD"
"NGO","Charity & Donations","USA","USD"
"Insurance Store Online","Financial Services","INDIA","INR"
"FBI - UK - Rush Hour","Government & Legal","UK","GBP"
"Popeyes","Food & Dining","UK","GBP"
"Fitness - USA Branch","Entertainment & Recreation","USA","USD"
"Moe's Southwest Grill TXN642564","Food & Dining","INDIA","INR"
"Children's Hospital #5933 Online TXN833058","Healthcare & Medical","INDIA","INR"
"Peter Pan #2232 Store","Transportation","UK","GBP"
"Amnesty International - UK - Dinner Time","Charity & Donations","UK","GBP"
"Audubon Society Store - Evening","Charity & Donations","CANADA","CAD"
"Primary Care TXN160627","Healthcare & Medical","INDIA","INR"
"Rite Aid Branch","Healthcare & Medical","INDIA","INR"
"BMO Harris - CANADA","Financial Services","CANADA","CAD"
"Pharmacy","Healthcare & Medical","UK","GBP"
"United Way - CANADA","Charity & Donations","CANADA","CAD"
"Transfer #5889 - UK Store","Financial Services","UK","GBP"
"Occupational Therapy #9064 - INDIA (Digital Wallet)","Healthcare & Medical","INDIA","INR"
"Deposit - USA Store","Income","USA","USD"
"Chase - USA Store","Financial Services","USA","USD"
"Escape Room","Entertainment & Recreation","AUSTRALIA","AUD"
"Bojangles","Food & Dining","UK","GBP"
"NYU Langone - Weekend","Healthcare & Medical","AUSTRALIA","AUD"
"TSA","Government & Legal","INDIA","INR"
"Bookkeeping","Financial Services","INDIA","INR"
"Chiropractor #5032 - INDIA (Wire)","Healthcare & Medical","INDIA","INR"
"Delta #2705 Store","Transportation","INDIA","INR"
"Atlantic Broadband #4369 - USA - Dinner Time","Utilities & Services","USA","USD"
"Contract Work (Mobile)","Income","USA","USD"
"Viasat","Utilities & Services","AUSTRALIA","AUD"
"Wells Fargo #9215","Financial Services","AUSTRALIA","AUD"
"Barneys New York #2724 Store","Shopping & Retail","UK","GBP"
"Lowe's #3617 - CANADA","Shopping & Retail","CANADA","CAD"
"Orange Theory #4475 Online Campus","Entertainment & Recreation","USA","USD"
"Taxi #3384","Transportation","USA","USD"
"Exxon Shopping Center","Transportation","CANADA","CAD"
"Regions Bank #5486","Financial Services","USA","USD"
"Allegiant #4606 Online","Transportation","INDIA","INR"
"Apple Store #3614","Shopping & Retail","AUSTRALIA","AUD"
"Red Cross #2970 - INDIA Airport","Charity & Donations","INDIA","INR"
"Water Company","Utilities & Services","USA","USD"
"Xfinity - Weekday","Utilities & Services","UK","GBP"
"IKEA #8202 - Holiday","Shopping & Retail","CANADA","CAD"
"NSA","Government & Legal","AUSTRALIA","AUD"
"Contract Work #8611 Online - Weekend","Income","CANADA","CAD"
"Direct Deposit Online - Night","Income","USA","USD"
"Franchise Store Center Residential","Income","UK","GBP"
"Panda Express #4497","Food & Dining","UK","GBP"
"Cinema Hospital","Entertainment & Recreation","INDIA","INR"
"Retirement #5774 (Mobile)","Financial Services","AUSTRALIA","AUD"
"Home Depot Store (Digital Wallet)","Shopping & Retail","INDIA","INR"
"Shell #2678","Transportation","CANADA","CAD"
"Five Guys","Food & Dining","USA","USD"
"Social Security - USA","Income","USA","USD"
"SunTrust","Financial Services","UK","GBP"
"City Hall Online","Government & Legal","CANADA","CAD"
"Mayo Clinic Store","Healthcare & Medical","INDIA","INR"
"KeyBank #2566 Store - Night","Financial Services","USA","USD"
"X-Ray Store TXN133397","Healthcare & Medical","CANADA","CAD"
"Huntington Bank (Online)","Financial Services","AUSTRALIA","AUD"
"State Police - Afternoon","Government & Legal","INDIA","INR"
"ATM","Financial Services","AUSTRALIA","AUD"
"Belk - USA","Shopping & Retail","USA","USD"
"Cold Stone Creamery - USA - Lunch Time","Food & Dining","USA","USD"
"Nature Conservancy #2639","Charity & Donations","AUSTRALIA","AUD"
"Comerica - Evening","Financial Services","INDIA","INR"
"Avis","Transportation","USA","USD"
"Five Guys - CANADA - Weekday","Food & Dining","CANADA","CAD"
"Theater Online Station","Entertainment & Recreation","USA","USD"
"Pension #3894 Center (Wire)","Income","CANADA","CAD"
"Arcade #2428 - Weekend","Entertainment & Recreation","CANADA","CAD"
"Rite Aid #8153","Shopping & Retail","CANADA","CAD"
"Budget TXN141723","Transportation","INDIA","INR"
"Online Bank - USA","Financial Services","USA","USD"
"Apple Store #5262","Shopping & Retail","UK","GBP"
"Home Depot #2130 - UK Branch Mall","Shopping & Retail","UK","GBP"
"Arby's #5310 Store (ACH)","Food & Dining","INDIA","INR"
"Local Food Bank - AUSTRALIA","Charity & Donations","AUSTRALIA","AUD"
"WiFi #5025 Store Strip Mall","Utilities & Services","CANADA","CAD"
"Mortgage - UK Store","Financial Services","UK","GBP"
"Business WiFi - INDIA (Bank Transfer)","Utilities & Services","INDIA","INR"
"Kroger Pharmacy - Night","Healthcare & Medical","USA","USD"
"Brigham and Women's (Cash)","Healthcare & Medical","INDIA","INR"
"Local Food Bank TXN102304","Charity & Donations","CANADA","CAD"
"Jack in the Box Center","Food & Dining","AUSTRALIA","AUD"
"Frontier #2919 TXN928594","Utilities & Services","CANADA","CAD"
"Audubon Society Store (Wire)","Charity & Donations","USA","USD"
"Cleveland Clinic #5902","Healthcare & Medical","AUSTRALIA","AUD"
"Part-time - UK","Income","UK","GBP"
"Cinemark #7924","Entertainment & Recreation","CANADA","CAD"
"Parking #3661 Store - Morning","Transportation","AUSTRALIA","AUD"
"Spirit #5800","Transportation","UK","GBP"
"Potbelly TXN759585","Food & Dining","USA","USD"
"City Hall #5478 - Night","Government & Legal","CANADA","CAD"
"Temple Shopping Center","Charity & Donations","AUSTRALIA","AUD"
"Highway Patrol - CANADA","Government & Legal","CANADA","CAD"
"Reward","Income","UK","GBP"
"Full-time - INDIA","Income","INDIA","INR"
"Dillard's - USA","Shopping & Retail","USA","USD"
"Tax #4318 - USA Branch","Government & Legal","USA","USD"
"AT&T #9971","Utilities & Services","INDIA","INR"
"Anytime Fitness #9449 - UK Store","Entertainment & Recreation","UK","GBP"
"RCN TXN250179","Utilities & Services","CANADA","CAD"
"NSA","Government & Legal","UK","GBP"
"Starlink #1696 Station","Utilities & Services","UK","GBP"
"Loan #5753 Store","Financial Services","INDIA","INR"
"Wage - UK - Weekend","Income","UK","GBP"
"Gym #4524","Entertainment & Recreation","USA","USD"
"Google Fiber #4432 - CANADA Branch Center","Utilities & Services","CANADA","CAD"
"Pension (App)","Income","CANADA","CAD"
"Sheriff - INDIA Store","Government & Legal","INDIA","INR"
"Fiber #4893 Store","Utilities & Services","UK","GBP"
"Shell","Transportation","AUSTRALIA","AUD"
"T-Mobile #9496 Store","Utilities & Services","INDIA","INR"
"Amnesty International","Charity & Donations","AUSTRALIA","AUD"
"RCN","Utilities & Services","UK","GBP"
"Netflix #1871 Store","Entertainment & Recreation","AUSTRALIA","AUD"
"Audubon Society","Charity & Donations","UK","GBP"
"Accounting Center","Financial Services","INDIA","INR"
"Visa Online","Government & Legal","CANADA","CAD"
"First National #7489 Store Business District","Financial Services","AUSTRALIA","AUD"
"Family Dollar","Shopping & Retail","INDIA","INR"
"Spirit","Transportation","USA","USD"
"Mr. Sub","Food & Dining","UK","GBP"
"Gas Company - UK Store","Utilities & Services","UK","GBP"
"Taxi","Transportation","USA","USD"
"Windstream #8812","Utilities & Services","USA","USD"
"Qdoba","Food & Dining","UK","GBP"
"T-Mobile Online","Utilities & Services","AUSTRALIA","AUD"
"Chipotle #3136 Mall","Food & Dining","USA","USD"
"Getaround","Transportation","UK","GBP"
"Chipotle","Food & Dining","INDIA","INR"
"Goodwill Branch","Charity & Donations","USA","USD"
"National","Transportation","USA","USD"
"MRI (Online)","Healthcare & Medical","INDIA","INR"
"Homeless Shelter - AUSTRALIA Branch","Charity & Donations","AUSTRALIA","AUD"
"NYU Langone - USA Store Online","Healthcare & Medical","USA","USD"
"ATF - UK Online","Government & Legal","UK","GBP"
"AMC #2323","Entertainment & Recreation","CANADA","CAD"
"National Parks","Charity & Donations","AUSTRALIA","AUD"
"Banking #4525 - Dinner Time","Financial Services","AUSTRALIA","AUD"
"CenturyLink Branch TXN633055","Utilities & Services","AUSTRALIA","AUD"
"Lowe's #7913 Store - Rush Hour","Shopping & Retail","UK","GBP"
"US Bank #5435 TXN396597","Financial Services","USA","USD"
"Children's Hospital #1413 Online","Healthcare & Medical","AUSTRALIA","AUD"
"Jimmy John's - AUSTRALIA","Food & Dining","AUSTRALIA","AUD"
"Walgreens #5340","Healthcare & Medical","AUSTRALIA","AUD"
"MRI - AUSTRALIA Store - Holiday","Healthcare & Medical","AUSTRALIA","AUD"
"Whole Foods Airport","Food & Dining","AUSTRALIA","AUD"
"Payroll","Income","CANADA","CAD"
"Red Cross","Charity & Donations","INDIA","INR"
"Mobile Online","Utilities & Services","AUSTRALIA","AUD"
"Allegiant #1403 - INDIA","Transportation","INDIA","INR"
"Charter","Utilities & Services","INDIA","INR"
"Gym","Entertainment & Recreation","CANADA","CAD"
"National Parks","Charity & Donations","USA","USD"
"WOW - UK Center","Utilities & Services","UK","GBP"
"WWF #1898 - Afternoon","Charity & Donations","AUSTRALIA","AUD"
"DART #2652","Transportation","AUSTRALIA","AUD"
"NYU Langone #8723 Store Center","Healthcare & Medical","UK","GBP"
"Psychiatrist - USA","Healthcare & Medical","USA","USD"
"Enterprise Airport","Transportation","INDIA","INR"
"Five Guys - INDIA","Food & Dining","INDIA","INR"
"Disney+ #5466","Entertainment & Recreation","USA","USD"
"Cedars-Sinai Residential","Healthcare & Medical","UK","GBP"
"HSBC #9147 Online - Lunch Time","Financial Services","INDIA","INR"
"Festival - Night","Entertainment & Recreation","UK","GBP"
"Windstream - UK","Utilities & Services","UK","GBP"
"Cedars-Sinai #4329 TXN808799","Healthcare & Medical","AUSTRALIA","AUD"
"Goodwill #9331 Store","Charity & Donations","AUSTRALIA","AUD"
"Festival","Entertainment & Recreation","CANADA","CAD"
"Moe's Southwest Grill #3415","Food & Dining","CANADA","CAD"
"Cashback - Lunch Time","Income","USA","USD"
"Reimbursement Online","Income","AUSTRALIA","AUD"
"Walmart Pharmacy","Healthcare & Medical","INDIA","INR"
"FBI #4615 (Mobile)","Government & Legal","AUSTRALIA","AUD"
"Children's Hospital #4866","Healthcare & Medical","USA","USD"
"Cane's - CANADA Store (Cash)","Food & Dining","CANADA","CAD"
"Part-time Online Center - Night","Income","CANADA","CAD"
"Hawaiian Airlines","Transportation","UK","GBP"
"Zara (Cash)","Shopping & Retail","AUSTRALIA","AUD"
"Rally's #8824 - CANADA","Food & Dining","CANADA","CAD"
"City Hall","Government & Legal","CANADA","CAD"
"NYU Langone","Healthcare & Medical","CANADA","CAD"
"Alamo","Transportation","CANADA","CAD"
"Gym #6129 - AUSTRALIA","Entertainment & Recreation","AUSTRALIA","AUD"
"Capital Gains - INDIA (Wire)","Income","INDIA","INR"
"White House #5965","Government & Legal","INDIA","INR"
"Cold Stone Creamery #8918 - INDIA Store - Weekday","Food & Dining","INDIA","INR"
"HughesNet Online","Utilities & Services","UK","GBP"
"Turo","Transportation","INDIA","INR"
"Audubon Society (ACH)","Charity & Donations","USA","USD"
"T-Mobile","Utilities & Services","CANADA","CAD"
"Bloomingdale's Store","Shopping & Retail","INDIA","INR"
"eBay - AUSTRALIA Center TXN920658","Shopping & Retail","AUSTRALIA","AUD"
"Credit Store","Income","CANADA","CAD"
"Sierra Club","Charity & Donations","INDIA","INR"
"Payroll Online Residential","Income","AUSTRALIA","AUD"
"Nike","Shopping & Retail","INDIA","INR"
"Bank #1059 Business District","Financial Services","AUSTRALIA","AUD"
"Emergency Services Store Online Residential","Government & Legal","INDIA","INR"
"Belk #4808 TXN891851","Shopping & Retail","USA","USD"
"Amnesty International","Charity & Donations","CANADA","CAD"
"AMC","Entertainment & Recreation","USA","USD"
"Stanford Health Store","Healthcare & Medical","UK","GBP"
"Swimming Pool Center (App)","Entertainment & Recreation","INDIA","INR"
"Uber #3262 - AUSTRALIA","Transportation","AUSTRALIA","AUD"
"Social Security #4411 - USA","Income","USA","USD"
"Von Maur - Afternoon","Shopping & Retail","AUSTRALIA","AUD"
"BP - INDIA","Transportation","INDIA","INR"
"GoFundMe","Charity & Donations","AUSTRALIA","AUD"
"Bookkeeping Downtown","Financial Services","INDIA","INR"
"Commission","Income","USA","USD"
"Alaska Airlines - AUSTRALIA - Night","Transportation","AUSTRALIA","AUD"
"Loan","Financial Services","AUSTRALIA","AUD"
"Dillard's Store Hospital","Shopping & Retail","UK","GBP"
"Capital Gains","Income","AUSTRALIA","AUD"
"Staples Store Online","Shopping & Retail","AUSTRALIA","AUD"
"Ulta Store TXN532145","Shopping & Retail","USA","USD"
"Mayo Clinic #9757 (Wire)","Healthcare & Medical","UK","GBP"
"Oxfam Online","Charity & Donations","CANADA","CAD"
"Business WiFi","Utilities & Services","UK","GBP"
"Loan #6596","Financial Services","AUSTRALIA","AUD"
"Sierra Club - CANADA","Charity & Donations","CANADA","CAD"
"Taxi","Transportation","AUSTRALIA","AUD"
"Cable Internet - INDIA - Evening","Utilities & Services","INDIA","INR"
"Brigham and Women's","Healthcare & Medical","USA","USD"
"X-Ray TXN425887","Healthcare & Medical","AUSTRALIA","AUD"
"Five Guys","Food & Dining","UK","GBP"
"Car2Go #4753","Transportation","INDIA","INR"
"Capitol","Government & Legal","INDIA","INR"
"NYU Langone","Healthcare & Medical","UK","GBP"
"Royalty #3157 Store","Income","CANADA","CAD"
"Tennis Court #8506","Entertainment & Recreation","CANADA","CAD"
"Oxfam Mall","Charity & Donations","CANADA","CAD"
"Tax - USA - Dinner Time","Government & Legal","USA","USD"
"T-Mobile Online","Utilities & Services","INDIA","INR"
"Tennis Court - CANADA Downtown","Entertainment & Recreation","CANADA","CAD"
"Panera Bread #7420","Food & Dining","UK","GBP"
"Go-Kart Store","Entertainment & Recreation","USA","USD"
"Bowling Alley","Entertainment & Recreation","AUSTRALIA","AUD"
"KFC Store","Food & Dining","AUSTRALIA","AUD"
"Go-Kart","Entertainment & Recreation","USA","USD"
"PNC Bank Online Residential","Financial Services","INDIA","INR"
"Mount Sinai Store","Healthcare & Medical","INDIA","INR"
"Delta #9357","Transportation","AUSTRALIA","AUD"
"Carnival - USA Store","Entertainment & Recreation","USA","USD"
"WiFi","Utilities & Services","CANADA","CAD"
"Insurance","Financial Services","CANADA","CAD"
"Mini Golf #4187 - AUSTRALIA Branch - Night","Entertainment & Recreation","AUSTRALIA","AUD"
"CrossFit","Entertainment & Recreation","CANADA","CAD"
"Nordstrom Rack Online TXN262966","Shopping & Retail","CANADA","CAD"
"Humane Society #3514 TXN188670","Charity & Donations","UK","GBP"
"Specialist #7728","Healthcare & Medical","UK","GBP"
"Mortgage #5605 Online Strip Mall","Financial Services","INDIA","INR"
"Notary - Holiday","Government & Legal","UK","GBP"
"Car2Go #8710 Mall","Transportation","INDIA","INR"
"Bank of America Online (Digital Wallet)","Financial Services","AUSTRALIA","AUD"
"Fitness #1624","Entertainment & Recreation","CANADA","CAD"
"YouTube (Mobile)","Entertainment & Recreation","AUSTRALIA","AUD"
"Gas Company Store - Evening","Utilities & Services","USA","USD"
"Optimum Online","Utilities & Services","UK","GBP"
"Five Guys #9903","Food & Dining","INDIA","INR"
"Lab Airport","Healthcare & Medical","UK","GBP"
"Rock Climbing - CANADA Store","Entertainment & Recreation","CANADA","CAD"
"MBTA (Bank Transfer)","Transportation","UK","GBP"
"Convention Center","Entertainment & Recreation","AUSTRALIA","AUD"
"ATF - INDIA Center Airport","Government & Legal","INDIA","INR"
"Government","Government & Legal","INDIA","INR"
"Family Dollar","Shopping & Retail","UK","GBP"
"Megabus Online","Transportation","AUSTRALIA","AUD"
"Cable Internet","Utilities & Services","AUSTRALIA","AUD"
"Tax Preparation - Rush Hour","Financial Services","UK","GBP"
"Theater","Entertainment & Recreation","UK","GBP"
"National Parks","Charity & Donations","USA","USD"
"Dunkin' Donuts Branch Residential","Food & Dining","INDIA","INR"
"County Clerk Store (Contactless)","Government & Legal","CANADA","CAD"
"Family Dollar - USA","Shopping & Retail","USA","USD"
"eBay Store Shopping Center","Shopping & Retail","AUSTRALIA","AUD"
"Social Security - Night","Government & Legal","INDIA","INR"
"Sparklight Store","Utilities & Services","USA","USD"
"Interest #5838 - Evening","Income","AUSTRALIA","AUD"
"Stock #6177 - CANADA Branch - Holiday","Financial Services","CANADA","CAD"
"Fiber #9684 TXN272478","Utilities & Services","INDIA","INR"
"Visa #4523 Store Business District","Government & Legal","INDIA","INR"
"Brigham and Women's Online","Healthcare & Medical","USA","USD"
"Citibank #2059","Financial Services","USA","USD"
"Homeless Shelter #1122 - Evening","Charity & Donations","INDIA","INR"
"KeyBank","Financial Services","UK","GBP"
"Office Depot Center","Shopping & Retail","UK","GBP"
"Burger King - USA - Lunch Time","Food & Dining","USA","USD"
"WiFi #8606 Residential","Utilities & Services","UK","GBP"
"EMS #8896 - Holiday","Government & Legal","INDIA","INR"
"Loan #5530","Financial Services","UK","GBP"
"Sparklight #5709 TXN147762","Utilities & Services","CANADA","CAD"
"Convention Center","Entertainment & Recreation","UK","GBP"
"Retirement - CANADA","Financial Services","CANADA","CAD"
"ASPCA Shopping Center","Charity & Donations","UK","GBP"
"Family Dollar #2248 (Online)","Shopping & Retail","INDIA","INR"
"Neurologist","Healthcare & Medical","USA","USD"
"Zipcar Store Strip Mall","Transportation","INDIA","INR"
"Nature Conservancy Online","Charity & Donations","USA","USD"
"Kickstarter - AUSTRALIA (Digital Wallet)","Charity & Donations","AUSTRALIA","AUD"
"Mayo Clinic Strip Mall","Healthcare & Medical","AUSTRALIA","AUD"
"Mortgage Center","Financial Services","UK","GBP"
"Cold Stone Creamery","Food & Dining","UK","GBP"
"Paramedic (Cash)","Government & Legal","AUSTRALIA","AUD"
"UCLA Medical Store TXN856666","Healthcare & Medical","INDIA","INR"
"Panda Express - INDIA Store","Food & Dining","INDIA","INR"
"Sixt Online Station","Transportation","INDIA","INR"
"ATM - CANADA Online - Dinner Time","Financial Services","CANADA","CAD"
"Pension (Mobile)","Income","USA","USD"
"County Clerk - CANADA Store","Government & Legal","CANADA","CAD"
"DirecTV","Utilities & Services","AUSTRALIA","AUD"
"Brokerage #5391","Financial Services","INDIA","INR"
"Doctors Without Borders - AUSTRALIA","Charity & Donations","AUSTRALIA","AUD"
"TD Bank - CANADA (App)","Financial Services","CANADA","CAD"
"Disability #6082 (Contactless)","Income","INDIA","INR"
"Theme Park","Entertainment & Recreation","UK","GBP"
"Trampoline Park Airport","Entertainment & Recreation","AUSTRALIA","AUD"
"Credit - USA Center Residential","Income","USA","USD"
"Adidas","Shopping & Retail","INDIA","INR"
"Fire Department - USA","Government & Legal","USA","USD"
"Fitness Online","Entertainment & Recreation","INDIA","INR"
"ATF - INDIA Store - Weekend","Government & Legal","INDIA","INR"
"Staples","Shopping & Retail","CANADA","CAD"
"Netflix Store","Entertainment & Recreation","INDIA","INR"
"Pilates #2607","Entertainment & Recreation","AUSTRALIA","AUD"
"Chase - INDIA (Digital Wallet)","Financial Services","INDIA","INR"
"Annuity #8931 - UK Center","Income","UK","GBP"
"BP #7844","Transportation","INDIA","INR"
"Senate","Government & Legal","CANADA","CAD"
"UPS Store","Shopping & Retail","INDIA","INR"
"Turo","Transportation","UK","GBP"
"YouTube - Weekday","Entertainment & Recreation","USA","USD"
"Firehouse Subs Branch","Food & Dining","USA","USD"
"ReachNow","Transportation","INDIA","INR"
"Donation Online (Card)","Charity & Donations","AUSTRALIA","AUD"
"Dillard's Store","Shopping & Retail","UK","GBP"
"Comcast #5532","Utilities & Services","USA","USD"
"Cable One Shopping Center","Utilities & Services","AUSTRALIA","AUD"
"DART","Transportation","AUSTRALIA","AUD"
"Retirement Planning - UK Store Center","Financial Services","UK","GBP"
"MARTA #3429","Transportation","AUSTRALIA","AUD"
"Laser Tag","Entertainment & Recreation","INDIA","INR"
"MBTA #9024","Transportation","INDIA","INR"
"Walgreens Store","Shopping & Retail","UK","GBP"
"Post Office","Government & Legal","USA","USD"
"Alamo - AUSTRALIA Downtown","Transportation","AUSTRALIA","AUD"
"Viasat Branch","Utilities & Services","UK","GBP"
"Refund Mall","Income","INDIA","INR"
"CVS","Shopping & Retail","INDIA","INR"
"Pizza Hut - CANADA Residential","Food & Dining","CANADA","CAD"
"Emergency Services","Government & Legal","INDIA","INR"
"Psychiatrist - Weekend","Healthcare & Medical","CANADA","CAD"
"CenturyLink","Utilities & Services","CANADA","CAD"
"Accounting - INDIA Store","Financial Services","INDIA","INR"
"Doctors Without Borders","Charity & Donations","USA","USD"
"Local Church Store","Charity & Donations","UK","GBP"
"Kaiser Permanente - USA","Healthcare & Medical","USA","USD"
"Orange Theory","Entertainment & Recreation","AUSTRALIA","AUD"
"Cleveland Clinic Online","Healthcare & Medical","USA","USD"
"Financial Advisor Store TXN632343","Financial Services","INDIA","INR"
"Church #7297 Online","Charity & Donations","AUSTRALIA","AUD"
"Paramedic","Government & Legal","INDIA","INR"
"Fifth Third TXN266082","Financial Services","AUSTRALIA","AUD"
"Children's Hospital","Healthcare & Medical","USA","USD"
"Paintball - USA Store (Contactless)","Entertainment & Recreation","USA","USD"
"Blood Test","Healthcare & Medical","UK","GBP"
"Firehouse Subs #8505 Center Airport","Food & Dining","UK","GBP"
"DSL","Utilities & Services","INDIA","INR"
"Southwest Airlines - Afternoon","Transportation","INDIA","INR"
"Big Lots #3965","Shopping & Retail","UK","GBP"
"Jack in the Box #7927 Store","Food & Dining","USA","USD"
"Train - UK","Transportation","UK","GBP"
"Mosque #5213","Charity & Donations","CANADA","CAD"
"Maternity Leave #8112","Income","UK","GBP"
"Side Hustle #5349 Store - Afternoon","Income","AUSTRALIA","AUD"
"Zipcar - INDIA","Transportation","INDIA","INR"
"Nordstrom Rack TXN802583","Shopping & Retail","UK","GBP"
"Lab - Night","Healthcare & Medical","INDIA","INR"
"Gift #9772","Charity & Donations","UK","GBP"
"Contract Work","Income","CANADA","CAD"
"Neurologist","Healthcare & Medical","INDIA","INR"
"Cane's Center","Food & Dining","INDIA","INR"
"Contract Work #6128 Store","Income","USA","USD"
"Neiman Marcus - Night","Shopping & Retail","USA","USD"
"Bowling Alley #7188 Branch Business District","Entertainment & Recreation","INDIA","INR"
"Dermatologist Airport","Healthcare & Medical","AUSTRALIA","AUD"
"MTA Shopping Center","Transportation","INDIA","INR"
"Costco","Shopping & Retail","AUSTRALIA","AUD"
"Golf Course #7116 Store Branch","Entertainment & Recreation","UK","GBP"
"GoFundMe - INDIA","Charity & Donations","INDIA","INR"
"Jack in the Box Store Online - Weekend","Food & Dining","AUSTRALIA","AUD"
"Freelance TXN493907","Income","UK","GBP"
"Alamo #7464 Online","Transportation","AUSTRALIA","AUD"
"Veterans Organization","Charity & Donations","AUSTRALIA","AUD"
"AMC Store","Entertainment & Recreation","INDIA","INR"
"Southwest Airlines - CANADA","Transportation","CANADA","CAD"
"Regions Bank - UK","Financial Services","UK","GBP"
"Vacation Pay #5146 Store","Income","UK","GBP"
"Goodwill - INDIA","Charity & Donations","INDIA","INR"
"Phone Company Campus","Utilities & Services","CANADA","CAD"
